Game,Platform,Release Date,Genres,Rating,Average Hours,Minimum PC Requirements,Developer,Image Link
Test Drive Unlimited 2,PC,2011-02-08,Racing,3.69,28.87,Minimum:OS: Windows XP SP2 Vista SP2 Windows 7Processor:Intel Core 2 Duo 2.2GHz or AMD Athlon X2 4400+Memory: 2GBGraphics: Nvidia GeForce 8800 / ATI Radeon HD 3870 or faster*DirectX(r): DirectX 9.0cHard Drive: 14 GBSound: DirectX 9.0c-compatiblePeripherals: Keyboard Mouse or 10-button controller such as Xbox 360 or Logitech Dual-ActionOther Requirements: Internet Broadband Connection Microsoft .NET 3.5 requiredNote:* Integrated video cards such as the ATI Radeon HD 3200 or Intel HD Graphics are not supported.,Eden Games,//upload.wikimedia.org/wikipedia/en/thumb/9/99/Test_Drive_Unlimited_2_boxart.jpg/220px-Test_Drive_Unlimited_2_boxart.jpg
Far Cry 3,PC,2012-11-28,Shooter,4.24,28.04,Minimum:OS:Windows XP Windows Vista and Windows 7Processor:Intel Core(r)2 Duo E6700 @ 2.6 GHz or AMD Athlon64 X2 6000+ @ 3.0Ghz or betterMemory:4 GB RAMGraphics:512MB Video RAM (1GB Video RAM) DirectX9c (DirectX11) Shader Model 3.0 (Shader Model 5.0)DirectX(r):9.0cHard Drive:15 GB HD spaceSound:DirectX Compatible  (Recommended Surround Sound 5.1 capable)Other Requirements:Broadband Internet connectionAdditional:*Supported Video Cards at Time of Release: AMD Radeon(tm) HD 2900 / 3000 / 4000 / 5000 / 6000 / 7000 series NVIDIA(r) GeForce(r) 8800 GTX / 9 / 200 / 400 / 500 / 600 series. Laptop versions of these cards may work but are not supported. These chipsets are the only ones that will run this game. For the most up-to-date minimum requirement listings please visit the FAQ on our support website at http://support.ubi.com.Requires a UPlay account,Ubisoft Montreal,//upload.wikimedia.org/wikipedia/en/thumb/c/c6/Far_Cry_3_PAL_box_art.jpg/220px-Far_Cry_3_PAL_box_art.jpg
Saints Row 2,PC,2008-10-14,Shooter,3.58,27.11,Minimum:                    Supported OS:Windows XP or Vista.                                           Processor: 2.0 GHz Intel Dual-Core Pentium IV or equivalent or AMD Dual-Core Athlon XP or equivalent                    Memory: 1 GB system RAM                     Graphics: 128MB 3D graphics card with Shader Model 3.0 support (i.e. 7600 NVidia card or better ATI X1300 card or better)                    DirectX Version: DirectX 9.0c                      Sound: DirectX 9.0c compatible 16-bit sound card                    Hard Drive: 15 GB of Hard Drive Space                    Display: DirectX compatible display capable of 640x480 in 16-bit color,Volition,//upload.wikimedia.org/wikipedia/en/thumb/f/fb/Saints_Row_2_Game_Cover.jpg/220px-Saints_Row_2_Game_Cover.jpg
Sniper Elite,PC,2005-10-18,Action,3.33,26.71,OS: Windows XP / VistaProcessor: 1GHz Pentium CPU or equivalentMemory: 256Mb RAMGraphics: GeForce2 32Mb or equivalentDirectX(r): DirectX 9.0cHard Drive: 4Gb free hard disk spaceSound: Windows compatible sound card,Tactical shooter,//upload.wikimedia.org/wikipedia/en/thumb/8/84/Sniper_Elite_series_logo.svg/250px-Sniper_Elite_series_logo.svg.png
Sacred 3,PC,2014-07-31,Action,2.71,26.08,Minimum:OS: Windows Vista SP2 / 7 / 8Processor: Intel Pentium D945 (Dual Core 3400 MHz)/ AMD Athlon 64 X2 6000+ (Dual Core 3000 MHz)Memory: 2 GB RAMGraphics: Nvidia GeForce GT 610 (1024MB) / ATI Radeon 4770 (512MB)DirectX: Version 9.0cStorage: 25 GB available spaceSound Card: DirectX 9.0c-compatible,[1],//upload.wikimedia.org/wikipedia/en/thumb/3/38/Sacred_3_box_art.jpg/220px-Sacred_3_box_art.jpg
Mount & Blade,PC,2008-09-16,Indie,3.85,25.09,OS: Windows 2000/XP/Vista                    Memory: 512 MB of RAM                    Graphics: Graphics card with at least 64 MB memory                    Hard Drive: 700 MB of hard disk space.,TaleWorlds Entertainment,//upload.wikimedia.org/wikipedia/en/thumb/4/40/Mbboxart.jpg/220px-Mbboxart.jpg
Mafia II,PC,2010-08-24,Adventure,4.14,24.94,Minimum:OS: Microsoft Windows XP (SP2 or later) / Windows Vista / Windows 7Processor: Pentium D 3Ghz or AMD Athlon 64 X2 3600+ (Dual core)  or higherRAM: 1.5 GB RAMHard Disk Space: 8GBVideo Card: nVidia GeForce 8600 / ATI HD2600 Pro or betterSound Card: 100% DirectX 9.0c compatible sound cardPeripherals: Keyboard and mouse or Windows compatible gamepadOther Requirements: Initial installation requires one-time internet connection for Steam authentication; software installations required (included with the game)include nVidia PhysX_drivers 10.04.02_9.10.0522and nVidia GPU drivers 197.13 or latest Steam Client and Microsoft DirectX.,2K Czech,//upload.wikimedia.org/wikipedia/en/thumb/0/0d/Mafia_II_Boxart.jpg/220px-Mafia_II_Boxart.jpg
Cities in Motion,PC,2011-02-21,Strategy,3.62,23.6,OS: Microsoft Windows XP/Vista/7Processor: 2 GHz Dual Core or higherMemory: 2 GB RAMHard Disk Space: 2 GBVideo Card: NVIDIA GeForce 8800/ATI Radeon HD 3850 or higher (integrated video cards not supported) 512 MB RAM OpenGL 3.0,Colossal Order,//upload.wikimedia.org/wikipedia/en/thumb/2/2f/Cities_in_Motion_logo.png/220px-Cities_in_Motion_logo.png
Torchlight,PC,2009-10-26,Action,3.72,22.52,OS: Windows XP or laterProcessor: x86-compatible 800MHz processorMemory: 512MBGraphics: DirectX-compatible 3D graphics with at least 64MB of addressable memory (such as an ATI Radeon 7200 NVIDIA GeForce 2 or Intel GMA 950)DirectX®: 9.0cHard Drive: 400MB,Runic Games,//upload.wikimedia.org/wikipedia/en/thumb/a/a2/TorchlightRetailBox.jpg/220px-TorchlightRetailBox.jpg
Company of Heroes 2,PC,2013-06-25,Strategy,3.14,22.47,Minimum:Memory: 2GB RAMProcessor: 2Ghz Intel Core2 Duo or equivalentGraphics: 512MB Direct3D 10 capable video card (GeForce 8800 GT or Radeon HD 2900XT)OS: 32bit Vista        Internet: Broadband Internet connectionHard Drive: 30GB free Hard disc space,Relic Entertainment,//upload.wikimedia.org/wikipedia/en/thumb/2/2b/Company_of_Heroes_2_cover.jpeg/220px-Company_of_Heroes_2_cover.jpeg
