Game,Minimum PC Requirements,Average Hours,Platform
Saints Row 2,Minimum:                    Supported OS:Windows XP or Vista.                                           Processor: 2.0 GHz Intel Dual-Core Pentium IV or equivalent or AMD Dual-Core Athlon XP or equivalent                    Memory: 1 GB system RAM                     Graphics: 128MB 3D graphics card with Shader Model 3.0 support (i.e. 7600 NVidia card or better ATI X1300 card or better)                    DirectX Version: DirectX 9.0c                      Sound: DirectX 9.0c compatible 16-bit sound card                    Hard Drive: 15 GB of Hard Drive Space                    Display: DirectX compatible display capable of 640x480 in 16-bit color,27.11,PC
Sniper Elite,OS: Windows XP / VistaProcessor: 1GHz Pentium CPU or equivalentMemory: 256Mb RAMGraphics: GeForce2 32Mb or equivalentDirectX(r): DirectX 9.0cHard Drive: 4Gb free hard disk spaceSound: Windows compatible sound card,26.71,PC
Sacred 3,Minimum:OS: Windows Vista SP2 / 7 / 8Processor: Intel Pentium D945 (Dual Core 3400 MHz)/ AMD Athlon 64 X2 6000+ (Dual Core 3000 MHz)Memory: 2 GB RAMGraphics: Nvidia GeForce GT 610 (1024MB) / ATI Radeon 4770 (512MB)DirectX: Version 9.0cStorage: 25 GB available spaceSound Card: DirectX 9.0c-compatible,26.08,PC
Mount & Blade,OS: Windows 2000/XP/Vista                    Memory: 512 MB of RAM                    Graphics: Graphics card with at least 64 MB memory                    Hard Drive: 700 MB of hard disk space.,25.09,PC
Mafia II,Minimum:OS: Microsoft Windows XP (SP2 or later) / Windows Vista / Windows 7Processor: Pentium D 3Ghz or AMD Athlon 64 X2 3600+ (Dual core)  or higherRAM: 1.5 GB RAMHard Disk Space: 8GBVideo Card: nVidia GeForce 8600 / ATI HD2600 Pro or betterSound Card: 100% DirectX 9.0c compatible sound cardPeripherals: Keyboard and mouse or Windows compatible gamepadOther Requirements: Initial installation requires one-time internet connection for Steam authentication; software installations required (included with the game)include nVidia PhysX_drivers 10.04.02_9.10.0522and nVidia GPU drivers 197.13 or latest Steam Client and Microsoft DirectX.,24.94,PC
Cities in Motion,OS: Microsoft Windows XP/Vista/7Processor: 2 GHz Dual Core or higherMemory: 2 GB RAMHard Disk Space: 2 GBVideo Card: NVIDIA GeForce 8800/ATI Radeon HD 3850 or higher (integrated video cards not supported) 512 MB RAM OpenGL 3.0,23.6,PC
Sleeping Dogs,Minimum:OS: Windows Vista Service Pack 2Processor: Core 2 Duo 2.4 GHz or Althon X2 2.7 GHzMemory: 2GBHard Disk Space: 15GBVideo Card: DirectX 10 or 11 compatible Nvidia or AMD ATI card ATI Radeon 3870 or higher Nvidia GeForce 8800 GT or higherDirectX(r): 10Sound: DirectX compatible sound card,23.13,PC
Torchlight,OS: Windows XP or laterProcessor: x86-compatible 800MHz processorMemory: 512MBGraphics: DirectX-compatible 3D graphics with at least 64MB of addressable memory (such as an ATI Radeon 7200 NVIDIA GeForce 2 or Intel GMA 950)DirectX®: 9.0cHard Drive: 400MB,22.52,PC
Majesty 2 Collection,Minimum:OS: Windows XP/VistaProcessor: 2.0GHz dual core processorMemory: 1 GB RAMGraphics: GeForce 6800 GTX 512MB or better Pixel Shader 2.0DirectX(r): 9.0Hard Drive: 4 GB free Sound: DirectX-compatibleAdditional:LAN required for multiplayer,22.52,PC
Company of Heroes 2,Minimum:Memory: 2GB RAMProcessor: 2Ghz Intel Core2 Duo or equivalentGraphics: 512MB Direct3D 10 capable video card (GeForce 8800 GT or Radeon HD 2900XT)OS: 32bit Vista        Internet: Broadband Internet connectionHard Drive: 30GB free Hard disc space,22.47,PC
The Secret World,Minimum:OS: Windows XP (SP 1) / Vista (SP 1) / Windows 7 (SP 1)Processor: 2.6 GHZ Intel Core 2 DUO or equivalent AMD CPUMemory: At least 2GB RAM for Windows XP / 3GB Ram for Windows Vista and Windows 7Hard Disk Space: At least 30GB of free spaceVideo Card: nVidia 8800 series 512 VRAM or better/Radeon HD3850 512MB or betterDirectX(r): 9.0cSound: DirectX 9.0c compatible sound cardAdditional: Requires account registration (free) with the developer. 30 days of free Membership is included.,22.42,PC
Max Payne 3,OS: Windows 7 32/64 Service Pack 1 Windows Vista 32/64 Service Pack 2 Windows XP 32/64 Service Pack 3Processor: Intel Dual Core 2.4 GHZ -  i7 3930K 6 Core  x 3.06 GHZ / AMD Dual Core 2.6 GHZ - FX8150 8 Core x 3.6 GHZMemory: 2GB - 16GBHard Disk Space: 35 GigsVideo Card:  NVIDIA(r) 8600 GT 512MB VRAM - NVIDIA(r) GeForce(r) GTX 680 2GB VRAM / Radeon HD 3400 512MB VRAM - Radeon HD 7970 3GB VRAMSound Card: 100% Direct X 9.0 compatible - Direct X 9.0 compatible supporting Dolby Digital LiveAdditional:Please refer to your hardware manufacturer and http://support.rockstargames.com/home for current compatibility information. Some system components such as mobile chipsets                              Integrated and AGP graphics cards may be incompatible.  Unlisted specifications may not be supported by publisher.Other Requirements: Initial activation requires internet connection and a valid Rockstar Social Club account (13+ to register); Online play requires log-in to Rockstar Social Club (13+); software installation required including GameShield IronWrap; DirectX and Microsoft Visual C++ 2008 SP1 Redistributable Package (x86).,20.88,PC
